# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1751140191288000000,1751140251288000000,0
jps.library.entities.serializer.load.entities.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.instances.count,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1751140191288000000,1751140251288000000,0
jps.save.global.entities.ms,1751140191288000000,1751140251288000000,0
jps.project.serializers.save.ms,1751140191288000000,1751140251288000000,0
jps.storage.jps.conf.reader.load.component.ms,1751140191288000000,1751140251288000000,0
jps.global.handle.before.change.events.ms,1751140191288000000,1751140251288000000,0
workspaceModel.load.cache.from.file.ms,1751140191288000000,1751140251288000000,0
workspaceModel.do.save.caches.ms,1751140191288000000,1751140251288000000,0
jps.global.initialize.library.bridges.after.loading.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.entities.ms,1751140191288000000,1751140251288000000,0
jps.load.initial.state.ms,1751140191288000000,1751140251288000000,0
jps.global.initialize.library.bridges.ms,1751140191288000000,1751140251288000000,0
jps.app.storage.content.writer.save.component.ms,1751140191288000000,1751140251288000000,0
jps.modifiable.module.model.bridge.load.module.ms,1751140191288000000,1751140251288000000,0
jps.app.storage.content.reader.load.component.ms,1751140191288000000,1751140251288000000,0
jps.load.project.to.empty.storage.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1751140191288000000,1751140251288000000,0
jps.module.iml.entities.serializer.load.entities.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1751140191288000000,1751140251288000000,0
jps.apply.loaded.storage.ms,1751140191288000000,1751140251288000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1751140191288000000,1751140251288000000,0
workspaceModel.global.apply.state.to.project.ms,1751140191288000000,1751140251288000000,0
jps.global.get.library.by.name.ms,1751140191288000000,1751140251288000000,0
workspaceModel.load.cache.metadata.from.file.ms,1751140191288000000,1751140251288000000,0
jps.reload.project.entities.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1751140191288000000,1751140251288000000,0
jps.save.changed.project.entities.ms,1751140191288000000,1751140251288000000,0
jps.facet.change.listener.init.bridge.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1751140191288000000,1751140251288000000,0
jps.modifiable.module.model.bridge.new.module.ms,1751140191288000000,1751140251288000000,0
jps.library.entities.serializer.save.entities.ms,1751140191288000000,1751140251288000000,0
jps.global.get.libraries.ms,1751140191288000000,1751140251288000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1751140191288000000,1751140251288000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1751140191288000000,1751140251288000000,0
jps.artifact.entities.serializer.load.entities.ms,1751140191288000000,1751140251288000000,0
